SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031120,Whitestone North West & Attleborough Fields,Whitestone,Weddington & St. Nicolas/Whitestone & Bulkington,Nuneaton & Bedworth,"1,375",15.8%
E01031094,Kingswood North East,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,179",15.8%
E01031320,The Moorings and Myton North,Warwick South,Warwick ,Warwick,"1,458",15.7%
E01031276,Lillington South,Crown,North Leamington ,Warwick,"1,504",15.5%
E01031026,Dordon Village,Dordon,North Warwickshire - North ,North Warwickshire,"1,638",15.4%
E01031290,Milverton Cliffe,Milverton,North Leamington ,Warwick,"1,624",15.3%
E01031168,New Bilton West & Somers Rd,New Bilton,Rugby Town West ,Rugby,"1,857",15.1%
E01031332,Sydenham West,Willes,South Leamington & Whitnash ,Warwick,"1,496",15.1%
E01031223,Stockton,Stockton and Napton,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,425",15.1%
E01031044,Abbey North,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,429",15.0%
E01031077,Keresley North and Newlands,Exhall,Bedworth North ,Nuneaton & Bedworth,"1,391",15.0%
E01031088,Market End and Newdigate,Heath,Bedworth North ,Nuneaton & Bedworth,"1,808",15.0%
E01031034,Kingsbury North,Kingsbury,North Warwickshire - West ,North Warwickshire,"1,895",14.8%
E01031057,Bar Pool North & Crescents,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,441",14.7%
E01031308,Stoneleigh,Stoneleigh,Warwick Rural/Kenilworth,Warwick,"3,031",14.4%
E01031133,Whinfield Park,Benn,Rugby Town North ,Rugby,"1,451",14.3%
E01031176,Overslade North,Overslade,Rugby Town West ,Rugby,"1,301",14.3%
E01031312,Wedgenock & Woodloes West,Warwick North,Warwick ,Warwick,"1,219",14.3%
E01031264,Brunswick South East,Brunswick,South Leamington & Whitnash ,Warwick,"1,752",14.3%
E01031333,Sydenham North,Willes,South Leamington & Whitnash ,Warwick,"1,457",14.2%
E01031174,Cattlemarket,Newbold,Rugby Town North ,Rugby,"1,535",14.2%
E01031071,Camp Hill Village Centre,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,214",14.2%
E01031230,The Avenue,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"2,225",14.2%
E01031171,Newbold Riverside,Newbold,Rugby Town North ,Rugby,"1,377",14.1%
E01031177,Overslade North West,Overslade,Rugby Town West ,Rugby,"1,323",14.1%
E01031010,Atherstone Central - Centre,Atherstone Central,North Warwickshire - East ,North Warwickshire,"1,615",14.0%
E01031329,Whitnash West,Whitnash,South Leamington & Whitnash ,Warwick,"2,534",13.6%
E01031169,New Bilton North,New Bilton,Rugby Town West ,Rugby,"1,606",13.4%
E01031132,Benn South,Benn,Rugby Town North ,Rugby,"1,698",13.4%
E01031231,Maybird,Stratford Avenue and New Town,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,813",13.3%
E01031141,Brownsover South Junction One,Brownsover South,Rugby Town North ,Rugby,"1,260",13.3%
E01031101,St Nicolas Horeston Grange East,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,532",13.3%
E01031261,Brunswick South West & kingsway,Brunswick,South Leamington & Whitnash ,Warwick,"1,548",12.9%
E01031090,Kingswood Grove Farm & Rural,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,450",12.8%
E01031048,Arbury Heath End,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"1,302",12.7%
E01031296,Knowle Hill & Glasshouse,Park Hill,Kenilworth ,Warwick,"1,737",12.7%
E01031137,Brownsover North Lake District,Brownsover North,Rugby Town North ,Rugby,"1,111",12.7%
E01031273,Lillington East,Crown,North Leamington ,Warwick,"1,370",12.6%
E01031108,Slough West and Rural,Slough,Bedworth North ,Nuneaton & Bedworth,"1,374",12.2%
E01031100,St Nicolas Horeston Grange West,St. Nicolas,Weddington & St. Nicolas ,Nuneaton & Bedworth,"1,401",12.1%
E01031334,Sydenham South & East,Willes,South Leamington & Whitnash ,Warwick,"1,602",12.0%
E01031047,Abbey South,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,711",11.8%
E01031107,Slough Collycroft North,Slough,Bedworth North ,Nuneaton & Bedworth,"1,157",11.8%
E01031072,Camp Hill South West & Brook,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,047",11.7%
E01031096,Poplar North West,Poplar,Bedworth South ,Nuneaton & Bedworth,"1,278",11.7%
E01031050,Arbury Rural,Arbury,Arbury & Stockingford ,Nuneaton & Bedworth,"1,529",11.7%
E01031052,Attleborough North East,Attleborough,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,458",11.4%
E01031265,Brunswick North West & Foundry,Brunswick,South Leamington & Whitnash ,Warwick,"1,562",11.3%
E01031335,Old Town North,Willes,South Leamington & Whitnash ,Warwick,"1,493",11.3%
E01031085,Galley Common East,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,453",11.1%
E01031337,Old Town East & Sydenham Ind. Est.,Willes,South Leamington & Whitnash ,Warwick,"1,439",11.0%
E01031046,Abbey Priory,Abbey,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,491",10.8%
E01031262,Brunswick South & Cemetary,Brunswick,South Leamington & Whitnash ,Warwick,"1,516",10.7%
E01031259,Bishops Tachbrook North & Warwick Gates,Bishops Tachbrook,Warwick Rural ,Warwick,"1,436",10.6%
E01031268,Hatton & Hampton Magna,Budbrooke,Warwick Rural ,Warwick,"2,804",10.6%
E01031318,Warwick Gates,Warwick South,Warwick ,Warwick,"2,363",10.5%
E01031084,Chapel End,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,978",10.4%
E01031131,Benn West,Benn,Rugby Town North ,Rugby,"1,474",10.0%
E01031099,Poplar South,Poplar,Bedworth South ,Nuneaton & Bedworth,"2,219",10.0%
E01031061,Bar Pool South,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,648",10.0%
E01031263,Brunswick North East,Brunswick,South Leamington & Whitnash ,Warwick,"1,750",9.8%
E01031321,Packmores West & The Cape,Warwick West,Warwick ,Warwick,"1,355",9.7%
E01031081,Galley Common South East,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,728",9.4%
E01031315,"Warwick Gates North, Tachbrook Park & Myton South",Warwick South,Warwick ,Warwick,"2,009",9.0%
E01031326,Kings Meadow & Longbridge,Warwick West,Warwick ,Warwick,"2,521",8.6%
E01031336,Old Town North West,Willes,South Leamington & Whitnash ,Warwick,"1,762",8.2%
E01031266,Old Town West & Railway Bridge,Brunswick,South Leamington & Whitnash ,Warwick,"1,914",7.9%
E01031139,Brownsover North Campion,Brownsover North,Rugby Town North ,Rugby,"1,791",7.9%
E01031130,Benn Station,Benn,Rugby Town North ,Rugby,"1,724",7.5%
E01031138,Brownsover North - East,Brownsover North,Rugby Town North ,Rugby,"1,201",7.0%
E01031126,Cawston,Admirals,Rugby Town West ,Rugby,"4,170",6.7%
E01031082,Galley Common South,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,482",5.9%
E01031055,Attleborough South West,Attleborough,Whitestone & Bulkington ,Nuneaton & Bedworth,"1,948",5.6%
E01031142,Brownsover South Lake District North,Brownsover South,Rugby Town North ,Rugby,"1,473",5.4%
