SOA Code,SOA Name,Ward Name,Locality,District/Borough,Total Population,"% of Total Population aged 60+ (Females), 65+ (Males)"
E01031249,Wellesbourne West,Wellesbourne,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,228",18.0%
E01031038,Polesworth East - Station,Polesworth East,North Warwickshire - North ,North Warwickshire,"1,971",17.9%
E01031119,Riversley,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,569",17.8%
E01031031,Piccadilly and Wood End,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,"2,324",17.7%
E01031093,Kingswood Hills,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,361",17.6%
E01031218,Hampton Lucy & Fulbrook,Snitterfield,"Southam, Wellesbourne & Kineton/Alcester, Studley & Henley",Stratford-on-Avon,"1,176",17.6%
E01031236,Bishopton,Stratford Mount Pleasant,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"1,642",17.6%
E01031164,Long Lawford South,Lawford and King's Newnham,Rugby Rural ,Rugby,"1,821",17.6%
E01031008,Ansley Common and Birchley Heath,Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,322",17.5%
E01031005,"New Arley East, Hill Top and Ansley",Arley and Whitacre,North Warwickshire - South ,North Warwickshire,"1,460",17.5%
E01031319,Emscote Lawns,Warwick South,Warwick ,Warwick,"1,903",17.4%
E01031032,Hurley,Hurley and Wood End,North Warwickshire - West ,North Warwickshire,"1,482",17.4%
E01031289,Manor East,Manor,North Leamington ,Warwick,"1,553",17.3%
E01031041,Water Orton West,Water Orton,North Warwickshire - West ,North Warwickshire,"1,847",17.3%
E01031145,Caldecott North West,Caldecott,Rugby Town West ,Rugby,"1,552",17.1%
E01031083,Galley Common West & Rural,Galley Common,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,594",17.1%
E01031092,Kingswood Stockingford Schools,Kingswood,Arbury & Stockingford ,Nuneaton & Bedworth,"1,450",17.1%
E01031292,Milverton West,Milverton,North Leamington ,Warwick,"1,495",17.1%
E01031226,Stratford South East & Alveston Hill,Stratford Alveston,Stratford-on-Avon & Shipston ,Stratford-on-Avon,"3,229",17.0%
E01031157,Eastlands North,Eastlands,Rugby Town East ,Rugby,"1,738",17.0%
E01031116,Middlemarch & Swimming Pool,Wem Brook,Abbey & Wem Brook ,Nuneaton & Bedworth,"1,579",17.0%
E01031074,Camp Hill North West & Allotments,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,492",17.0%
E01031325,Warwick West East,Warwick West,Warwick ,Warwick,"1,400",16.9%
E01031167,New Bilton South East,New Bilton,Rugby Town West ,Rugby,"1,328",16.9%
E01031059,Bar Pool East & Greenmoor,Bar Pool,Arbury & Stockingford ,Nuneaton & Bedworth,"1,406",16.8%
E01031170,New Bilton East,New Bilton,Rugby Town West ,Rugby,"1,585",16.5%
E01031270,Town Centre,Clarendon,North Leamington ,Warwick,"1,873",16.4%
E01031075,Camp Hill West & Quarry,Camp Hill,Camp Hill & Galley Common ,Nuneaton & Bedworth,"1,536",16.4%
E01031019,Coleshill North - Grimstock Hill,Coleshill North,North Warwickshire - South ,North Warwickshire,"1,687",16.3%
E01031200,Bishops Itchington,Harbury,"Southam, Wellesbourne & Kineton ",Stratford-on-Avon,"1,543",16.3%
